,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1421,HARYANA DELHI & CHANDIGARH,1965,6.2,11.5,7.3,8.6,20.4,2.1,120.3,133.3,60.9,11.0,0.1,0.2,381.9,17.7,36.3,316.7,11.3
1422,HARYANA DELHI & CHANDIGARH,1966,3.3,34.0,6.7,1.7,45.3,128.9,98.2,312.8,69.1,6.7,1.0,0.2,707.7,37.3,53.7,609.0,7.8
1423,HARYANA DELHI & CHANDIGARH,1967,0.0,2.4,43.4,0.9,13.0,33.1,224.3,336.0,96.3,7.8,13.8,68.9,839.9,2.4,57.3,689.7,90.5
1424,HARYANA DELHI & CHANDIGARH,1968,14.1,15.9,17.3,0.0,2.3,28.3,211.2,90.1,0.1,7.0,0.0,2.0,388.3,30.0,19.6,329.6,9.1
1425,HARYANA DELHI & CHANDIGARH,1969,1.5,6.8,9.7,3.6,21.0,11.3,130.9,132.7,158.8,0.3,0.6,0.0,477.2,8.3,34.3,433.7,1.0
1426,HARYANA DELHI & CHANDIGARH,1970,35.4,35.4,9.4,0.0,11.5,67.2,65.7,207.9,104.9,0.8,0.0,0.0,538.2,70.8,20.9,445.7,0.8
1427,HARYANA DELHI & CHANDIGARH,1971,17.0,18.9,1.1,7.5,58.7,61.3,148.4,259.2,51.6,11.3,1.8,0.0,636.8,35.9,67.4,520.5,13.1
1428,HARYANA DELHI & CHANDIGARH,1972,6.8,12.1,5.6,11.6,0.1,24.9,137.1,186.0,12.6,7.7,33.1,3.2,440.8,18.9,17.4,360.6,44.0
1429,HARYANA DELHI & CHANDIGARH,1973,15.8,5.2,3.2,0.5,32.9,75.1,118.3,189.8,57.6,19.7,0.0,9.0,527.2,21.0,36.7,440.8,28.6
1430,HARYANA DELHI & CHANDIGARH,1974,0.5,1.3,1.6,0.9,4.6,37.9,201.5,94.5,12.2,16.4,0.0,13.5,384.9,1.8,7.0,346.1,29.9
1431,HARYANA DELHI & CHANDIGARH,1975,20.3,2.9,9.3,0.3,5.6,57.9,182.6,180.1,142.4,20.6,0.0,0.0,622.1,23.2,15.3,563.0,20.6
1432,HARYANA DELHI & CHANDIGARH,1976,8.8,23.1,6.8,2.7,32.4,80.2,216.2,317.4,38.0,0.2,0.1,0.8,726.7,31.8,41.9,651.8,1.1
1433,HARYANA DELHI & CHANDIGARH,1977,50.1,1.5,0.8,22.8,23.6,50.6,288.4,165.7,118.3,8.4,0.5,9.4,740.1,51.6,47.2,623.1,18.3
1434,HARYANA DELHI & CHANDIGARH,1978,0.2,24.8,51.7,4.2,1.5,71.5,202.7,184.8,104.5,2.1,2.8,0.5,651.1,25.0,57.4,563.4,5.3
1435,HARYANA DELHI & CHANDIGARH,1979,23.2,45.5,10.7,3.5,30.0,33.6,122.7,39.7,19.9,3.6,2.8,6.3,341.5,68.7,44.1,215.9,12.7
1436,HARYANA DELHI & CHANDIGARH,1980,5.8,2.3,22.0,0.4,8.9,45.5,236.5,102.0,50.2,13.4,4.9,21.4,513.2,8.0,31.2,434.3,39.7
1437,HARYANA DELHI & CHANDIGARH,1981,25.7,13.3,34.6,0.5,18.0,63.3,196.7,63.7,34.7,0.1,42.1,0.6,493.4,39.0,53.2,358.4,42.9
1438,HARYANA DELHI & CHANDIGARH,1982,21.4,20.0,70.7,33.1,57.3,29.9,99.2,150.4,5.4,3.2,2.4,13.6,506.6,41.4,161.1,284.9,19.2
1439,HARYANA DELHI & CHANDIGARH,1983,38.0,5.3,6.4,82.5,35.3,29.5,218.3,240.7,79.8,5.4,0.0,3.3,744.5,43.2,124.3,568.2,8.7
1440,HARYANA DELHI & CHANDIGARH,1984,1.9,14.5,0.4,2.7,0.7,48.6,154.2,179.5,75.5,0.9,0.0,0.3,479.2,16.4,3.8,457.8,1.1
1441,HARYANA DELHI & CHANDIGARH,1985,3.5,0.3,1.1,8.1,3.1,44.2,256.9,152.4,35.9,42.6,0.0,24.3,572.4,3.8,12.3,489.4,66.9
1442,HARYANA DELHI & CHANDIGARH,1986,7.2,31.0,12.7,3.3,36.0,85.1,92.5,108.9,52.9,11.2,0.7,9.5,450.9,38.2,52.1,339.3,21.4
1443,HARYANA DELHI & CHANDIGARH,1987,21.3,27.8,12.4,6.4,62.5,27.7,26.4,106.6,18.0,3.2,0.0,6.3,318.6,49.1,81.3,178.7,9.5
1444,HARYANA DELHI & CHANDIGARH,1988,1.5,13.2,34.5,3.6,3.4,82.4,288.5,222.5,183.4,0.0,0.1,12.0,845.0,14.7,41.5,776.7,12.1
1445,HARYANA DELHI & CHANDIGARH,1989,40.1,0.4,11.7,0.6,2.3,31.6,90.8,152.5,68.7,0.2,5.2,12.4,416.5,40.5,14.6,343.6,17.8
1446,HARYANA DELHI & CHANDIGARH,1990,0.0,79.5,4.9,2.2,21.9,25.3,201.2,137.7,194.5,2.7,14.1,19.2,703.1,79.5,28.9,558.7,36.0
1447,HARYANA DELHI & CHANDIGARH,1991,0.1,19.7,2.9,13.2,6.0,50.4,55.3,187.9,36.9,1.4,3.8,16.2,393.9,19.7,22.2,330.5,21.4
1448,HARYANA DELHI & CHANDIGARH,1992,20.3,16.4,0.5,1.2,7.8,17.2,124.5,171.6,59.0,3.8,7.2,0.0,429.7,36.7,9.6,372.3,11.1
1449,HARYANA DELHI & CHANDIGARH,1993,4.5,16.1,11.3,5.4,8.8,42.0,274.6,35.6,125.4,0.0,0.0,0.0,523.8,20.7,25.5,477.6,0.0
1450,HARYANA DELHI & CHANDIGARH,1994,20.1,11.3,0.6,7.6,8.5,51.3,275.8,160.6,28.2,0.0,0.1,0.2,564.4,31.4,16.7,515.9,0.3
1451,HARYANA DELHI & CHANDIGARH,1995,38.8,21.7,9.8,4.9,0.6,47.2,115.0,405.3,175.3,0.2,0.1,0.3,819.1,60.5,15.3,742.7,0.7
1452,HARYANA DELHI & CHANDIGARH,1996,16.0,30.5,11.6,0.6,5.1,109.4,85.8,249.2,116.3,19.9,0.0,0.3,644.6,46.5,17.3,560.7,20.2
1453,HARYANA DELHI & CHANDIGARH,1997,6.6,2.2,14.6,35.3,38.0,60.2,133.6,226.8,36.9,53.7,13.4,47.3,668.6,8.8,87.9,457.5,114.4
1454,HARYANA DELHI & CHANDIGARH,1998,0.4,24.6,25.4,9.1,6.1,68.4,154.8,161.6,150.9,78.2,5.8,0.0,685.3,25.0,40.6,535.6,84.0
1455,HARYANA DELHI & CHANDIGARH,1999,31.7,0.7,1.4,0.0,20.1,42.2,109.8,78.7,54.7,4.8,0.0,0.4,344.4,32.4,21.5,285.4,5.1
1456,HARYANA DELHI & CHANDIGARH,2000,17.1,29.1,1.4,1.3,22.8,58.9,146.8,87.9,17.5,0.0,0.4,1.2,384.4,46.2,25.6,311.1,1.6
1457,HARYANA DELHI & CHANDIGARH,2001,17.8,5.2,7.2,19.8,47.8,117.2,145.2,103.5,10.3,11.1,0.1,0.2,485.5,23.0,74.8,376.3,11.4
